aspect,adjective,aspect_adj,predictions_overall,predictions_absa_pre
entree,overall,overall entree,Positive,Neutral
meal,overall,overall meal,Positive,Neutral
hour,over,over hour,Negative,Neutral
flavor,outstanding,outstanding flavor,Positive,Positive
food,outstanding,outstanding food,Positive,Positive
service,outstanding,outstanding service,Negative,Positive
attention,outstanding,outstanding attention,Neutral,Positive
service bailey,outstanding,outstanding service bailey,Positive,Positive
food,outstanding,outstanding food,Positive,Positive
service,outstanding,outstanding service,Positive,Positive
everything,outstanding,outstanding everything,Positive,Positive
patio,outside,outside patio,Positive,Neutral
look,outside,outside look,Positive,Neutral
patio area,outside,outside patio area,Positive,Neutral
space,outside,outside space,Positive,Neutral
area,outside,outside area,Positive,Neutral
patio,outside,outside patio,Positive,Neutral
seating,outside,outside seating,Positive,Neutral
server,outside,outside server,Negative,Neutral
it,outdoors,outdoors it,Neutral,Neutral
space,outdoor,outdoor space,Neutral,Neutral
furniture,outdoor,outdoor furniture,Neutral,Neutral
seating,outdoor,outdoor seating,Positive,Neutral
seating,outdoor,outdoor seating,Positive,Neutral
area,outdoor,outdoor area,Positive,Neutral
seating section,outdoor,outdoor seating section,Positive,Neutral
area,outdoor,outdoor area,Positive,Neutral
patio,outdoor,outdoor patio,Positive,Neutral
area,outdoor,outdoor area,Positive,Neutral
seating,outdoor,outdoor seating,Positive,Neutral
space,outdoor,outdoor space,Positive,Neutral
seating,outdoor,outdoor seating,Positive,Neutral
seating,outdoor,outdoor seating,Positive,Neutral
seating,outdoor,outdoor seating,Positive,Neutral
area,outdoor,outdoor area,Positive,Neutral
space,outdoor,outdoor space,Positive,Neutral
seating,outdoor,outdoor seating,Positive,Neutral
space,outdoor,outdoor space,Positive,Neutral
seating,outdoor,outdoor seating,Positive,Neutral
seating,outdoor,outdoor seating,Positive,Neutral
place,outdoor,outdoor place,Positive,Neutral
seating,outdoor,outdoor seating,Positive,Neutral
seating,outdoor,outdoor seating,Positive,Neutral
area,outdoor,outdoor area,Positive,Neutral
candidate,other,other candidate,Negative,Neutral
people,other,other people,Neutral,Neutral
food restaurant,other,other food restaurant,Positive,Neutral
taco bell,other,other taco bell,Positive,Neutral
mcdonald,other,other mcdonald,Negative,Neutral
restaurant,other,other restaurant,Positive,Neutral
you,other,other you,Negative,Neutral
way,other,other way,Negative,Neutral
shop,other,other shop,Negative,Neutral
coffee business,other,other coffee business,Negative,Neutral
coffee option,other,other coffee option,Negative,Neutral
drink,other,other drink,Negative,Neutral
customer,other,other customer,Neutral,Neutral
coffee shop,other,other coffee shop,Neutral,Neutral
customer,other,other customer,Neutral,Neutral
coffee shop,other,other coffee shop,Negative,Neutral
shop,other,other shop,Positive,Neutral
chain,other,other chain,Positive,Neutral
coffee,other,other coffee,Positive,Neutral
thing,other,other thing,Positive,Neutral
coffee shop,other,other coffee shop,Positive,Neutral
place,other,other place,Positive,Neutral
location,other,other location,Negative,Neutral
person,other,other person,Negative,Neutral
people,other,other people,Negative,Neutral
mix in,other,other mix in,Negative,Neutral
flavor,other,other flavor,Positive,Neutral
store,other,other store,Neutral,Neutral
customer,other,other customer,Negative,Neutral
employee,other,other employee,Negative,Neutral
one,other,other one,Negative,Neutral
road location,other,other road location,Negative,Neutral
employee,other,other employee,Negative,Neutral
customer,other,other customer,Negative,Neutral
it,other,other it,Neutral,Neutral
place,other,other place,Neutral,Neutral
customer,other,other customer,Negative,Neutral
steak house,other,other steak house,Neutral,Neutral
plenty,other,other plenty,Neutral,Neutral
i,other,other i,Positive,Neutral
food,other,other food,Positive,Neutral
dish,other,other dish,Negative,Neutral
table mate,other,other table mate,Negative,Neutral
guest,other,other guest,Negative,Neutral
server,other,other server,Negative,Neutral
steak,other,other steak,Positive,Neutral
stuff,other,other stuff,Positive,Neutral
steakhouse,other,other steakhouse,Positive,Neutral
steakhouse,other,other steakhouse,Positive,Neutral
night,other,other night,Positive,Neutral
place,other,other place,Negative,Neutral
i,other,other i,Negative,Neutral
car,other,other car,Negative,Neutral
staff,other,other staff,Negative,Neutral
food,other,other food,Negative,Neutral
location,other,other location,Positive,Neutral
bartender,oregon,oregon bartender,Positive,Neutral
dinner,ordinary,ordinary dinner,Negative,Negative
hour,opening,opening hour,Negative,Neutral
they,open,open they,Negative,Neutral
it,open,open it,Negative,Neutral
mcdonald,open,open mcdonald,Negative,Neutral
it,open,open it,Negative,Neutral
hour,open,open hour,Negative,Neutral
i,open,open i,Negative,Neutral
they,open,open they,Neutral,Neutral
i,open,open i,Positive,Neutral
workspace,open,open workspace,Positive,Neutral
air,open,open air,Positive,Neutral
area,open,open area,Positive,Neutral
they,open,open they,Positive,Neutral
mics,open,open mics,Positive,Neutral
door,open,open door,Negative,Neutral
site,open,open site,Negative,Neutral
they,open,open they,Negative,Neutral
bowl,open,open bowl,Negative,Neutral
sign,open,open sign,Negative,Neutral
it,open,open it,Negative,Neutral
it,open,open it,Negative,Neutral
bill,open,open bill,Positive,Neutral
parking,open,open parking,Positive,Neutral
food,open,open food,Positive,Neutral
pool table,open,open pool table,Positive,Neutral
bar,open,open bar,Positive,Neutral
atmosphere,open,open atmosphere,Positive,Neutral
service,open,open service,Positive,Neutral
they,open,open they,Positive,Neutral
they,open,open they,Positive,Neutral
they,open,open they,Positive,Neutral
thing,only,only thing,Neutral,Neutral
option,only,only option,Neutral,Neutral
option,only,only option,Positive,Neutral
one,only,only one,Positive,Neutral
problem,only,only problem,Neutral,Neutral
reason,only,only reason,Neutral,Neutral
issue,only,only issue,Positive,Neutral
reason,only,only reason,Positive,Neutral
gripe,only,only gripe,Positive,Neutral
regret,only,only regret,Positive,Neutral
reason,only,only reason,Negative,Neutral
price,only,only price,Positive,Positive
gentleman,only,only gentleman,Neutral,Neutral
thing,only,only thing,Negative,Neutral
reason,only,only reason,Neutral,Neutral
thing,only,only thing,Neutral,Neutral
place,only,only place,Positive,Neutral
opportunity,only,only opportunity,Positive,Neutral
reason,only,only reason,Negative,Neutral
word,only,only word,Negative,Neutral
way,only,only way,Negative,Neutral
order,online,online order,Negative,Neutral
order,online,online order,Negative,Neutral
order,online,online order,Negative,Neutral
order,online,online order,Negative,Neutral
order,online,online order,Negative,Neutral
business,online,online business,Negative,Neutral
salad,ole,ole salad,Negative,Neutral
anything,ole,ole anything,Negative,Neutral
woman,older,older woman,Positive,Neutral
sister,older,older sister,Positive,Neutral
son,older,older son,Negative,Neutral
people,older,older people,Positive,Neutral
customer,older,older customer,Negative,Neutral
bean,old,old bean,Negative,Negative
food,old,old food,Negative,Negative
shell,old,old shell,Negative,Negative
manager,old,old manager,Positive,Neutral
food,old,old food,Negative,Negative
food,old,old food,Negative,Negative
bagel,old,old bagel,Negative,Negative
car garage,old,old car garage,Positive,Neutral
stone,old,old stone,Positive,Neutral
they,old,old they,Negative,Neutral
piece,old,old piece,Negative,Neutral
food,old,old food,Negative,Negative
dad,old,old dad,Negative,Neutral
steak house,old,old steak house,Negative,Neutral
place,old,old place,Neutral,Negative
fashion donut,old,old fashion donut,Positive,Neutral
website,old,old website,Positive,Negative
style restaurant,old,old style restaurant,Positive,Neutral
steakhouse,old,old steakhouse,Positive,Neutral
fashioneds,old,old fashioneds,Positive,Neutral
downtown steakhouse,old,old downtown steakhouse,Positive,Neutral
steak,old,old steak,Positive,Neutral
leg,old,old leg,Positive,Neutral
oakland road,old,old oakland road,Negative,Neutral
food,okay,okay food,Negative,Positive
food,okay,okay food,Negative,Positive
i,okay,okay i,Negative,Neutral
coffee,okay,okay coffee,Neutral,Positive
coffee,okay,okay coffee,Negative,Positive
it,okay,okay it,Positive,Neutral
job,okay,okay job,Negative,Positive
food,okay,okay food,Negative,Positive
atmosphere,okay,okay atmosphere,Positive,Positive
food,okay,okay food,Negative,Positive
food,okay,okay food,Neutral,Positive
burger king,okay,okay burger king,Neutral,Positive
it,okay,okay it,Negative,Neutral
cheese,ok,ok cheese,Neutral,Neutral
they,ok,ok they,Neutral,Neutral
it,ok,ok it,Neutral,Neutral
food,ok,ok food,Positive,Positive
it,ok,ok it,Negative,Neutral
coffee,ok,ok coffee,Positive,Positive
that,ok,ok that,Negative,Neutral
it,ok,ok it,Neutral,Neutral
donut,ok,ok donut,Negative,Positive
sandwich,ok,ok sandwich,Positive,Positive
fry,ok,ok fry,Negative,Positive
service,ok,ok service,Neutral,Positive
steak,ok,ok steak,Neutral,Positive
food,ok,ok food,Neutral,Positive
food,ok,ok food,Neutral,Positive
it,ok,ok it,Negative,Neutral
food,ok,ok food,Negative,Positive
it,ok,ok it,Negative,Neutral
food,ok,ok food,Negative,Positive
it,ok,ok it,Neutral,Neutral
food,ok,ok food,Negative,Positive
restaurant,ok,ok restaurant,Positive,Positive
night,off,off night,Negative,Neutral
day,off,off day,Negative,Neutral
spot,of.my,of.my spot,Positive,Neutral
setup,odd,odd setup,Negative,Negative
wedding anniversary,occasional,occasional wedding anniversary,Positive,Neutral
chit chatting,obvious,obvious chit chatting,Negative,Neutral
it,obvious,obvious it,Negative,Neutral
dish,numerous,numerous dish,Positive,Positive
you,not wrong,not wrong you,Positive,Neutral
bk,not wrong,not wrong bk,Positive,Positive
food,not worth,not worth food,Neutral,Negative
place,not worth,not worth place,Negative,Negative
they,not willing,not willing they,Negative,Negative
which,not true,not true which,Negative,Negative
rib eye,not tough,not tough rib eye,Neutral,Positive
message,not thru,not thru message,Negative,Neutral
i,not thru,not thru i,Negative,Neutral
drink,not sweet,not sweet drink,Positive,Neutral
i,not sure,not sure i,Neutral,Neutral
i,not sure,not sure i,Negative,Negative
i,not sure,not sure i,Positive,Neutral
i,not sure,not sure i,Negative,Neutral
box,not sure,not sure box,Negative,Negative
soup,not sure,not sure soup,Negative,Neutral
chip,not soggy,not soggy chip,Positive,Negative
worker,not slow,not slow worker,Negative,Positive
i,not sick,not sick i,Negative,Neutral
one,not short,not short one,Negative,Neutral
that,not shady,not shady that,Negative,Positive
i,not rude,not rude i,Negative,Neutral
night spot,not romantic,not romantic night spot,Positive,Negative
something,not right,not right something,Positive,Neutral
that,not right,not right that,Negative,Neutral
location,not right,not right location,Positive,Negative
service,not reliable,not reliable service,Negative,Negative
food,not real,not real food,Negative,Negative
order,not ready,not ready order,Negative,Negative
it,not ready,not ready it,Negative,Negative
service,not questionable,not questionable service,Negative,Positive
they,not prepared,not prepared they,Negative,Negative
that,not possible,not possible that,Negative,Negative
it,not pleased,not pleased it,Neutral,Negative
coffee left,not pleasant,not pleasant coffee left,Negative,Negative
sound,not overwhelming,not overwhelming sound,Positive,Positive
place,not open,not open place,Negative,Negative
24hrs,not open,not open 24hrs,Negative,Negative
store,not open,not open store,Negative,Neutral
store,not open,not open store,Negative,Neutral
one,not only,not only one,Negative,Neutral
person,not only,not only person,Negative,Negative
sandwich,not oily,not oily sandwich,Positive,Positive
machine,not oiled,not oiled machine,Negative,Neutral
piece,not nice,not nice piece,Negative,Negative
bell food,not much,not much bell food,Positive,Neutral
people,not much,not much people,Positive,Neutral
that,not much,not much that,Negative,Negative
loss,not much,not much loss,Negative,Negative
mcdonald,not much,not much mcdonald,Neutral,Neutral
veggie,not much,not much veggie,Positive,Negative
point,not most,not most point,Negative,Negative
complaint,not many,not many complaint,Neutral,Positive
topping,not many,not many topping,Negative,Negative
loss,not major,not major loss,Negative,Negative
it,not loud,not loud it,Positive,Positive
shabby,not little,not little shabby,Positive,Positive
i,not likely,not likely i,Negative,Neutral
time,not last,not last time,Negative,Neutral
friendly-,not kid,not kid friendly-,Positive,Negative
i,not judgemental,not judgemental i,Negative,Negative
it,not intentional,not intentional it,Negative,Negative
i,not hungry,not hungry i,Positive,Neutral
coffee,not hot,not hot coffee,Negative,Negative
it,not horrible,not horrible it,Negative,Neutral
it,not horriable,not horriable it,Positive,Positive
bill,not high,not high bill,Negative,Positive
food,not hard,not hard food,Negative,Neutral
service worker,not hard,not hard service worker,Neutral,Negative
waitress,not happy,not happy waitress,Negative,Negative
taco bell,not great,not great taco bell,Negative,Negative
service,not great,not great service,Negative,Negative
crew,not great,not great crew,Negative,Negative
food,not good,not good food,Negative,Negative
food,not good,not good food,Neutral,Negative
food,not good,not good food,Negative,Negative
seating,not good,not good seating,Positive,Negative
place,not good,not good place,Negative,Negative
food,not good,not good food,Negative,Negative
food,not good,not good food,Negative,Negative
side dish,not good,not good side dish,Positive,Negative
experience,not good,not good experience,Negative,Negative
place,not good,not good place,Negative,Negative
what,not funny,not funny what,Negative,Negative
staff,not friendly,not friendly staff,Negative,Negative
staff,not friendly,not friendly staff,Negative,Negative
employee,not friendly,not friendly employee,Negative,Negative
employee,not friendly,not friendly employee,Negative,Negative
donut,not fresh,not fresh donut,Negative,Negative
time,not first,not first time,Negative,Neutral
time,not first,not first time,Negative,Neutral
time,not first,not first time,Negative,Neutral
building,not filthy,not filthy building,Positive,Positive
gm,not female,not female gm,Negative,Neutral
bill,not fancy,not fancy bill,Positive,Negative
food,not expensive,not expensive food,Negative,Positive
meal,not everyday,not everyday meal,Positive,Negative
parking space,not enough,not enough parking space,Negative,Negative
worker,not enough,not enough worker,Negative,Negative
they,not efficient,not efficient they,Negative,Negative
it,not edible,not edible it,Negative,Negative
experience,not eager,not eager experience,Negative,Negative
doughnut,not disappointed,not disappointed doughnut,Positive,Positive
stone,not different,not different stone,Positive,Neutral
disappoints,not different,not different disappoints,Positive,Neutral
price,not different,not different price,Positive,Neutral
meadowlands,not creamy,not creamy meadowlands,Negative,Negative
mind,not craving,not craving mind,Negative,Neutral
mayo,not cool,not cool mayo,Negative,Negative
i,not cool,not cool i,Negative,Neutral
place,not cleanest,not cleanest place,Negative,Negative
location,not clean,not clean location,Negative,Negative
staff,not clean,not clean staff,Neutral,Negative
restaurant,not clean,not clean restaurant,Neutral,Negative
i,not cheap,not cheap i,Neutral,Neutral
it,not busy,not busy it,Negative,Negative
it,not busy,not busy it,Negative,Neutral
coffee shop,not busy,not busy coffee shop,Negative,Negative
it,not busy,not busy it,Positive,Neutral
they,not busy,not busy they,Negative,Negative
someone,not busy,not busy someone,Negative,Neutral
it,not busy,not busy it,Positive,Neutral
it,not bitter,not bitter it,Neutral,Positive
fan,not big,not big fan,Positive,Neutral
plate eater,not big,not big plate eater,Negative,Neutral
deal,not big,not big deal,Negative,Neutral
it,not better,not better it,Positive,Negative
one,not better,not better one,Negative,Negative
food,not best,not best food,Negative,Negative
coffee,not best,not best coffee,Negative,Negative
place,not best,not best place,Neutral,Negative
experience,not best,not best experience,Positive,Negative
performance,not best,not best performance,Negative,Negative
food,not best,not best food,Negative,Negative
burger,not best,not best burger,Neutral,Negative
place,not bad,not bad place,Positive,Positive
place,not bad,not bad place,Positive,Positive
i,not bad,not bad i,Negative,Neutral
coffee,not bad,not bad coffee,Neutral,Positive
donut,not bad,not bad donut,Neutral,Positive
deal,not bad,not bad deal,Positive,Positive
place,not bad,not bad place,Positive,Positive
experience,not bad,not bad experience,Neutral,Positive
door,not back,not back door,Positive,Neutral
event,not authentic,not authentic event,Neutral,Negative
comment,not authentic,not authentic comment,Neutral,Negative
team,not attentive,not attentive team,Positive,Negative
i,not appalled,not appalled i,Negative,Positive
we,not alone,not alone we,Negative,Neutral
i,not able,not able i,Negative,Neutral
i,not able,not able i,Negative,Neutral
coffee roasting,northwest,northwest coffee roasting,Negative,Neutral
coffee,northwest,northwest coffee,Negative,Neutral
coffee,northwest,northwest coffee,Neutral,Neutral
coffee,northwest,northwest coffee,Positive,Neutral
coffee,northwest,northwest coffee,Positive,Neutral
coffee,northwest,northwest coffee,Positive,Neutral
coffee,northwest,northwest coffee,Positive,Neutral
coffee,northwest,northwest coffee,Positive,Neutral
i,normal,normal i,Negative,Neutral
food item,non,non food item,Negative,Neutral
seating,noisy,noisy seating,Positive,Negative
place,noisy,noisy place,Positive,Negative
kinda dark,nite,nite kinda dark,Positive,Neutral
man,nicest,nicest man,Positive,Positive
staff,nicest,nicest staff,Positive,Positive
she,nice,nice she,Negative,Neutral
employee,nice,nice employee,Neutral,Positive
it,nice,nice it,Positive,Positive
service,nice,nice service,Positive,Positive
staff,nice,nice staff,Positive,Positive
place,nice,nice place,Positive,Positive
experience,nice,nice experience,Positive,Positive
staff,nice,nice staff,Positive,Positive
she,nice,nice she,Positive,Positive
gal,nice,nice gal,Positive,Positive
people,nice,nice people,Positive,Positive
they,nice,nice they,Positive,Positive
staff,nice,nice staff,Positive,Positive
place,nice,nice place,Positive,Positive
employee,nice,nice employee,Positive,Positive
lady,nice,nice lady,Positive,Positive
employee,nice,nice employee,Positive,Positive
location,nice,nice location,Positive,Positive
lady,nice,nice lady,Negative,Positive
it,nice,nice it,Negative,Positive
play area,nice,nice play area,Negative,Positive
meal,nice,nice meal,Positive,Positive
mcd,nice,nice mcd,Positive,Positive
he,nice,nice he,Positive,Positive
worker,nice,nice worker,Positive,Positive
job worker,nice,nice job worker,Positive,Positive
staff,nice,nice staff,Positive,Positive
atmosphere,nice,nice atmosphere,Negative,Positive
people,nice,nice people,Negative,Positive
patio,nice,nice patio,Neutral,Positive
sign,nice,nice sign,Negative,Positive
staff,nice,nice staff,Negative,Positive
coffee fantastic,nice,nice coffee fantastic,Negative,Positive
space,nice,nice space,Neutral,Positive
improvement,nice,nice improvement,Neutral,Positive
which,nice,nice which,Neutral,Positive
people,nice,nice people,Neutral,Positive
guy,nice,nice guy,Positive,Positive
staff,nice,nice staff,Positive,Positive
employee,nice,nice employee,Positive,Positive
atmosphere,nice,nice atmosphere,Positive,Positive
atmosphere,nice,nice atmosphere,Neutral,Positive
staff,nice,nice staff,Positive,Positive
coffee shop,nice,nice coffee shop,Positive,Positive
atmosphere,nice,nice atmosphere,Neutral,Positive
place,nice,nice place,Positive,Positive
workspace,nice,nice workspace,Positive,Positive
coffee shop,nice,nice coffee shop,Positive,Positive
coffee shop,nice,nice coffee shop,Positive,Positive
patio,nice,nice patio,Positive,Positive
day,nice,nice day,Positive,Positive
patio area,nice,nice patio area,Positive,Positive
day,nice,nice day,Positive,Positive
place,nice,nice place,Positive,Positive
staff,nice,nice staff,Positive,Positive
they,nice,nice they,Positive,Positive
owner,nice,nice owner,Positive,Positive
staff,nice,nice staff,Positive,Positive
employee,nice,nice employee,Positive,Positive
people,nice,nice people,Positive,Positive
owner,nice,nice owner,Positive,Positive
outdoor seating,nice,nice outdoor seating,Positive,Positive
environment,nice,nice environment,Positive,Positive
venue,nice,nice venue,Positive,Positive
establishment,nice,nice establishment,Positive,Positive
gem,nice,nice gem,Positive,Positive
place,nice,nice place,Positive,Positive
people,nice,nice people,Positive,Positive
patio,nice,nice patio,Positive,Positive
worker,nice,nice worker,Positive,Positive
flavor,nice,nice flavor,Negative,Positive
place,nice,nice place,Positive,Positive
location,nice,nice location,Positive,Positive
treat,nice,nice treat,Positive,Positive
bartender,nice,nice bartender,Positive,Positive
staff,nice,nice staff,Neutral,Positive
staff,nice,nice staff,Neutral,Positive
place,nice,nice place,Neutral,Positive
bar,nice,nice bar,Negative,Positive
atmosphere,nice,nice atmosphere,Negative,Positive
it,nice,nice it,Positive,Positive
bard,nice,nice bard,Positive,Positive
staff,nice,nice staff,Positive,Positive
bar tender,nice,nice bar tender,Positive,Positive
lurker bar,nice,nice lurker bar,Positive,Positive
bar,nice,nice bar,Positive,Positive
cabin,nice,nice cabin,Positive,Positive
day bartender,nice,nice day bartender,Positive,Positive
bartender,nice,nice bartender,Positive,Positive
place,nice,nice place,Positive,Positive
they,nice,nice they,Positive,Positive
restaurant,nice,nice restaurant,Positive,Positive
bar,nice,nice bar,Positive,Positive
waitress,nice,nice waitress,Positive,Positive
place,nice,nice place,Positive,Positive
people,nice,nice people,Positive,Positive
bartender,nice,nice bartender,Positive,Positive
staff service,nice,nice staff service,Positive,Positive
staff service,nice,nice staff service,Positive,Positive
staff,nice,nice staff,Positive,Positive
people,nice,nice people,Positive,Positive
bartender,nice,nice bartender,Positive,Positive
person,nice,nice person,Positive,Positive
people,nice,nice people,Positive,Positive
go,nice,nice go,Positive,Positive
bar tender,nice,nice bar tender,Positive,Positive
owner,nice,nice owner,Positive,Positive
staff,nice,nice staff,Positive,Positive
breakfast,nice,nice breakfast,Positive,Positive
chunk,nice,nice chunk,Positive,Positive
person,nice,nice person,Positive,Positive
it,nice,nice it,Positive,Positive
place,nice,nice place,Positive,Positive
place,nice,nice place,Positive,Positive
waitress,nice,nice waitress,Positive,Positive
place,nice,nice place,Positive,Positive
crust,nice,nice crust,Positive,Positive
dinner,nice,nice dinner,Positive,Positive
surprise,nice,nice surprise,Positive,Positive
cut,nice,nice cut,Positive,Positive
side option,nice,nice side option,Positive,Positive
presentation,nice,nice presentation,Positive,Positive
burger,nice,nice burger,Neutral,Positive
staff,nice,nice staff,Positive,Positive
food,nice,nice food,Positive,Positive
tomato,nice,nice tomato,Positive,Positive
food,nice,nice food,Positive,Positive
attitude,nice,nice attitude,Positive,Positive
vegetable berger,nice,nice vegetable berger,Positive,Positive
people,nice,nice people,Positive,Positive
ambiance,next,next ambiance,Negative,Neutral
occasion dinner,next,next occasion dinner,Positive,Neutral
barista egg,newish,newish barista egg,Positive,Positive
establishment,newer,newer establishment,Positive,Neutral
sign,new,new sign,Negative,Neutral
technology,new,new technology,Negative,Neutral
worker,new,new worker,Negative,Neutral
location,new,new location,Negative,Neutral
fry,new,new fry,Positive,Positive
taco bell,new,new taco bell,Positive,Neutral
play item,new,new play item,Positive,Neutral
trend,new,new trend,Positive,Neutral
system,new,new system,Positive,Neutral
staff,new,new staff,Negative,Neutral
location,new,new location,Positive,Positive
space,new,new space,Positive,Positive
spot,new,new spot,Positive,Positive
coffee,new,new coffee,Positive,Positive
destination,new,new destination,Positive,Neutral
who,new,new who,Negative,Neutral
staff,new,new staff,Negative,Neutral
owner,new,new owner,Negative,Neutral
girl,new,new girl,Negative,Neutral
bar,new,new bar,Positive,Positive
staff,new,new staff,Negative,Neutral
management,new,new management,Negative,Neutral
location,new,new location,Negative,Neutral
store,new,new store,Positive,Neutral
customer,new,new customer,Negative,Neutral
location,new,new location,Positive,Neutral
remodeling,new,new remodeling,Positive,Neutral
year guy,new,new year guy,Positive,Neutral
place,new,new place,Positive,Neutral
place,new,new place,Positive,Neutral
steak place,new,new steak place,Positive,Neutral
steakhouse,new,new steakhouse,Positive,Neutral
worker,new,new worker,Negative,Neutral
man,nervous,nervous man,Negative,Negative
thing,neighborly,neighborly thing,Positive,Neutral
review,negative,negative review,Negative,Negative
price,negative,negative price,Positive,Neutral
review,negative,negative review,Negative,Negative
experience,negative,negative experience,Negative,Negative
steam cleaning,needs,needs steam cleaning,Neutral,Neutral
experience,needless,needless experience,Negative,Negative
i,needless,needless i,Negative,Neutral
item,needed,needed item,Negative,Neutral
coffee shop,neat,neat coffee shop,Positive,Positive
restaurant,neat,neat restaurant,Positive,Positive
future,near,near future,Positive,Neutral
future,near,near future,Positive,Neutral
future,near,near future,Positive,Neutral
light,natural,natural light,Positive,Positive
flavor,natural,natural flavor,Positive,Positive
cream day,national,national cream day,Negative,Neutral
taste,nasty,nasty taste,Negative,Negative
attitude,nasty,nasty attitude,Negative,Negative
critter,nasty,nasty critter,Negative,Negative
bathroom,nasty,nasty bathroom,Negative,Negative
food,nasty,nasty food,Negative,Negative
they,nasty,nasty they,Negative,Negative
family,muslim,muslim family,Negative,Neutral
cardboard,mushy,mushy cardboard,Negative,Negative
shoestring cut,mushy,mushy shoestring cut,Negative,Negative
car accident,multiple,multiple car accident,Negative,Negative
celebration,multiple,multiple celebration,Positive,Positive
customer,multiple,multiple customer,Negative,Positive
heater,multiple,multiple heater,Positive,Positive
place,multiple,multiple place,Positive,Positive
attention,much,much attention,Positive,Neutral
they,much,much they,Negative,Neutral
you,much,much you,Neutral,Neutral
furniture,movable,movable furniture,Positive,Neutral
dunkins,most,most dunkins,Positive,Neutral
i,most,most i,Negative,Neutral
individual,most,most individual,Negative,Neutral
location,most,most location,Positive,Neutral
mcdonald,most,most mcdonald,Negative,Neutral
mcdonald,most,most mcdonald,Positive,Neutral
menu item,most,most menu item,Positive,Neutral
people,most,most people,Neutral,Neutral
place,most,most place,Positive,Neutral
place,most,most place,Positive,Neutral
she,most,most she,Positive,Neutral
shop,most,most shop,Positive,Neutral
albert,more,more albert,Positive,Neutral
attention,more,more attention,Positive,Neutral
attention,more,more attention,Negative,Neutral
bite,more,more bite,Negative,Neutral
cashier,more,more cashier,Negative,Neutral
cook,more,more cook,Negative,Neutral
cost,more,more cost,Neutral,Neutral
couple,more,more couple,Negative,Neutral
customer,more,more customer,Negative,Neutral
employee,more,more employee,Negative,Neutral
everything,more,more everything,Positive,Neutral
help,more,more help,Negative,Neutral
i,more,more i,Positive,Neutral
it,more,more it,Positive,Neutral
leg,more,more leg,Positive,Neutral
location,more,more location,Positive,Neutral
love,more,more love,Negative,Neutral
money,more,more money,Negative,Neutral
money,more,more money,Positive,Neutral
napkin,more,more napkin,Negative,Neutral
patience,more,more patience,Neutral,Neutral
people,more,more people,Positive,Neutral
people,more,more people,Negative,Neutral
place,more,more place,Positive,Neutral
place,more,more place,Positive,Neutral
rib,more,more rib,Positive,Positive
security,more,more security,Positive,Neutral
steak,more,more steak,Positive,Neutral
store,more,more store,Positive,Neutral
supply,more,more supply,Negative,Neutral
that,more,more that,Neutral,Neutral
that,more,more that,Positive,Neutral
time,more,more time,Negative,Neutral
training,more,more training,Negative,Neutral
waiter,more,more waiter,Positive,Neutral
we,more,more we,Positive,Neutral
we,more,more we,Positive,Neutral
you,more,more you,Positive,Neutral
voice,monotone,monotone voice,Negative,Negative
ambiance flow,modern,modern ambiance flow,Positive,Neutral
chololate service,mocha,mocha chololate service,Positive,Neutral
app,mobile,mobile app,Negative,Neutral
coupon deal,mobile,mobile coupon deal,Negative,Neutral
order,mobile,mobile order,Negative,Neutral
order,mobile,mobile order,Negative,Neutral
order,mobile,mobile order,Negative,Neutral
order,mobile,mobile order,Negative,Neutral
order,mobile,mobile order,Negative,Neutral
order,mobile,mobile order,Negative,Neutral
order,mobile,mobile order,Negative,Neutral
order,mobile,mobile order,Negative,Neutral
order,mobile,mobile order,Negative,Neutral
order,mobile,mobile order,Positive,Neutral
order,mobile,mobile order,Negative,Neutral
order station,mobile,mobile order station,Negative,Neutral
order ticket,mobile,mobile order ticket,Negative,Neutral
ordering,mobile,mobile ordering,Negative,Neutral
tuesday coupon,mobile,mobile tuesday coupon,Negative,Neutral
cappuccino,mixed,mixed cappuccino,Positive,Neutral
food,missing,missing food,Negative,Negative
location,misleading,misleading location,Positive,Negative
everyone,miserable,miserable everyone,Negative,Negative
one,miserable,miserable one,Negative,Negative
criticism,minor,minor criticism,Positive,Neutral
hand,minnesota,minnesota hand,Positive,Neutral
min,minimum,minimum min,Negative,Neutral
drink,mini,mini drink,Positive,Neutral
lesson,mini,mini lesson,Positive,Neutral
waffle,mini,mini waffle,Positive,Neutral
discount,military,military discount,Negative,Neutral
cuisine 😋,mexican,mexican cuisine 😋,Negative,Neutral
i,mexican,mexican i,Negative,Neutral
pizza,mexican,mexican pizza,Negative,Neutral
restaurant,mexican,mexican restaurant,Negative,Neutral
place,messy,messy place,Negative,Negative
service,messy,messy service,Negative,Negative
health agency,mental,mental health agency,Negative,Neutral
cup,memorable,memorable cup,Positive,Positive
everything,memorable,memorable everything,Positive,Positive
experience,memorable,memorable experience,Positive,Positive
bar patron,mellow,mellow bar patron,Positive,Neutral
coffee,medium,medium coffee,Negative,Neutral
ice coffee,medium,medium ice coffee,Negative,Neutral
rare,medium,medium rare,Negative,Neutral
we,medium,medium we,Negative,Neutral
beginning,mediocre,mediocre beginning,Positive,Negative
coffee,mediocre,mediocre coffee,Negative,Negative
food selection,mediocre,mediocre food selection,Positive,Negative
service,mediocre,mediocre service,Positive,Negative
bjc campus,medical,medical bjc campus,Positive,Neutral
